2017-06-05 14:12:43,496 training config:{'CLASS_AGNOSTIC': True,
 'MXNET_VERSION': 'mxnet',
 'SCALES': [(1024, 2048)],
 'TEST': {'BATCH_IMAGES': 1, 'test_epoch': 53},
 'TRAIN': {'BATCH_IMAGES': 1,
           'CROP_HEIGHT': 768,
           'CROP_WIDTH': 1024,
           'ENABLE_CROP': True,
           'ENABLE_OHEM': False,
           'FLIP': True,
           'RESUME': False,
           'SHUFFLE': True,
           'begin_epoch': 0,
           'end_epoch': 53,
           'lr': 0.0005,
           'lr_step': '40.336',
           'model_prefix': 'deeplab_resnet_v1_101_cityscapes_segmentation_dcn',
           'momentum': 0.9,
           'warmup': True,
           'warmup_lr': 5e-05,
           'warmup_step': 1000,
           'wd': 0.0005},
 'dataset': {'NUM_CLASSES': 19,
             'annotation_prefix': 'gtFine',
             'dataset': 'CityScape',
             'dataset_path': '/data/haowang/seg_dataset',
             'image_set': 'leftImg8bit_train',
             'root_path': '/data/haowang/seg_dataset',
             'test_image_set': 'leftImg8bit_val'},
 'default': {'frequent': 10, 'kvstore': 'device'},
 'gpus': '0,1,2,3,4,5,6,7',
 'network': {'FIXED_PARAMS': ['conv1',
                              'bn_conv1',
                              'res2',
                              'bn2',
                              'gamma',
                              'beta'],
             'FIXED_PARAMS_SHARED': ['conv1',
                                     'bn_conv1',
                                     'res2',
                                     'bn2',
                                     'res3',
                                     'bn3',
                                     'res4',
                                     'bn4',
                                     'gamma',
                                     'beta'],
             'IMAGE_STRIDE': 0,
             'PIXEL_MEANS': array([ 103.06,  115.9 ,  123.15]),
             'pretrained': './model/pretrained_model/resnet_v1_101',
             'pretrained_epoch': 0},
 'output_path': './output/cityscape',
 'symbol': 'resnet_v1_101_deeplab_dcn'}

2017-06-05 14:13:50,789 Epoch[0] Batch [10]	Speed: 5.26 samples/sec	Train-FCNLogLoss=2.828974,	
2017-06-05 14:14:06,891 Epoch[0] Batch [20]	Speed: 4.97 samples/sec	Train-FCNLogLoss=2.494603,	
2017-06-05 14:14:26,224 Epoch[0] Batch [30]	Speed: 4.14 samples/sec	Train-FCNLogLoss=2.157310,	
2017-06-05 14:14:37,828 Epoch[0] Batch [40]	Speed: 6.89 samples/sec	Train-FCNLogLoss=1.923446,	
2017-06-05 14:14:46,892 Epoch[0] Batch [50]	Speed: 8.83 samples/sec	Train-FCNLogLoss=1.714270,	
2017-06-05 14:14:57,554 Epoch[0] Batch [60]	Speed: 7.50 samples/sec	Train-FCNLogLoss=1.574811,	
2017-06-05 14:15:12,828 Epoch[0] Batch [70]	Speed: 5.24 samples/sec	Train-FCNLogLoss=1.453671,	
2017-06-05 14:15:32,180 Epoch[0] Batch [80]	Speed: 4.13 samples/sec	Train-FCNLogLoss=1.355332,	
2017-06-05 14:15:52,726 Epoch[0] Batch [90]	Speed: 3.89 samples/sec	Train-FCNLogLoss=1.266607,	
2017-06-05 14:16:11,805 Epoch[0] Batch [100]	Speed: 4.19 samples/sec	Train-FCNLogLoss=1.198213,	
2017-06-05 14:16:32,713 Epoch[0] Batch [110]	Speed: 3.83 samples/sec	Train-FCNLogLoss=1.137931,	
2017-06-05 14:16:51,799 Epoch[0] Batch [120]	Speed: 4.19 samples/sec	Train-FCNLogLoss=1.096918,	
2017-06-05 14:17:06,686 Epoch[0] Batch [130]	Speed: 5.37 samples/sec	Train-FCNLogLoss=1.059882,	
2017-06-05 14:17:20,588 Epoch[0] Batch [140]	Speed: 5.75 samples/sec	Train-FCNLogLoss=1.019762,	
2017-06-05 14:17:36,764 Epoch[0] Batch [150]	Speed: 4.95 samples/sec	Train-FCNLogLoss=0.982570,	
2017-06-05 14:17:53,431 Epoch[0] Batch [160]	Speed: 4.80 samples/sec	Train-FCNLogLoss=0.946721,	
